# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 21 2023 at 00:11:56+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.20-22.11.50-5992
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.20-22.11.50-5992
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
22528 11 569.753463091912 571.666253771325 74.4015049934387 69.5037460327148 67.8683066368103 0 6.58992910385132 132 324901.279268759 324901.279268759 22581856 22581856 234059.787113385 234059.787113385 16268032 16268032 386.334512167262 1582177.58527302 12030.8607988696 1570146.72447415 2588 10798158 78798 10719360 0 0 0 0 73.9428298473358 1692569585.74555 28382
23040 11.25 564.32359427302 571.351234618994 76.6650931835175 71.7673342227936 70.0414276123047 0 6.63601064682007 135 321804.902607974 321804.902607974 23095080 23095080 231829.148737084 231829.148737084 16637760 16637760 394.041633282841 1630427.42479866 12084.8492635089 1618342.57553515 2614 10799619 80259 10719360 0 0 0 0 76.1968116760254 1692569588.00914 29021
23552 11.5 566.441678110678 571.228895023189 77.9856011867523 73.0878422260284 71.3311221599579 0 6.65867233276367 138 323012.737562972 323012.737562972 23608304 23608304 232699.276405005 232699.276405005 17007488 17007488 396.124172814442 1623107.82805232 12258.9611705932 1610848.86688172 2640 10801145 81785 10719360 0 0 0 0 77.5071103572845 1692569589.32965 29660
24064 11.75 568.290372564553 571.141890616705 79.3315379619598 74.433779001236 72.6549825668335 0 6.68082332611084 141 324066.953521189 324066.953521189 24121528 24121528 233458.736519497 233458.736519497 17377216 17377216 398.708591850098 1617966.50528586 12443.9917117512 1605522.51357411 2666 10802653 83293 10719360 0 0 0 0 78.8428027629852 1692569590.67559 30299
24576 12 569.888515034327 571.08925855733 80.7020590305328 75.804300069809 73.9516272544861 0 6.80944728851318 144 324978.292488864 324978.292488864 24634752 24634752 234115.267651791 234115.267651791 17746944 17746944 407.08507117293 1664481.23212944 12533.5686378195 1651947.66349162 2812 11697448 84808 11612640 0 0 0 0 80.2027368545532 1692569592.04611 30938
25088 12.25 564.411598164715 570.815534884539 83.0322270393372 78.1344680786133 76.2036650180817 0 6.83293318748474 147 321855.086729431 321855.086729431 25147976 25147976 231865.301518048 231865.301518048 18116672 18116672 415.02149225247 1713200.22628265 12602.0675703225 1700598.15871232 2838 11698907 86267 11612640 0 0 0 0 82.5229341983795 1692569594.37628 31577
25600 12.5 566.267931789488 570.70357742624 84.3654410839081 79.4676821231842 77.5146384239197 0 6.85516166687012 150 322913.658916365 322913.658916365 25661200 25661200 232627.899871849 232627.899871849 18486400 18486400 417.469330521461 1707861.63033629 12784.3413898815 1695077.28894641 2864 11700431 87791 11612640 0 0 0 0 83.8456125259399 1692569595.70949 32216
26112 12.75 568.262494851079 570.631115317013 85.6702899932861 80.7725310325623 78.7965114116669 0 6.87801027297974 153 324051.056286056 324051.056286056 26174424 26174424 233447.284107 233447.284107 18856128 18856128 419.856410230797 1702371.24473151 12959.8297271622 1689411.41500435 2890 11701936 89296 11612640 0 0 0 0 85.1402242183685 1692569597.01434 32855
26624 13 569.456387868126 570.590286758133 87.0814011096954 82.1836421489716 80.1313781738281 0 7.00776863098145 156 324731.872452479 324731.872452479 26687648 26687648 233937.745970785 233937.745970785 19225856 19225856 427.6244880664 1746072.94277736 13036.9353937525 1733036.00738361 3036 12596728 90808 12505920 0 0 0 0 86.5406880378723 1692569598.42545 33494
27136 13.25 564.376979096844 570.359770488343 89.4157350063324 84.5179760456085 82.3894460201263 0 7.03204226493835 159 321835.345244443 321835.345244443 27200872 27200872 231851.079697242 231851.079697242 19595584 19595584 435.222634025364 1792976.92206117 13101.3683298139 1779875.55373135 3062 12598187 92267 12505920 0 0 0 0 88.8642961978912 1692569600.75978 34133
