# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
207360 101.25 0.13174809955032
207872 101.5 0.131700821928514
208384 101.75 0.131653867036941
208896 102 0.131607209894891
209408 102.25 0.131560813160058
209920 102.5 0.131514636161473
210432 102.75 0.131468642058874
210944 103 0.13142279239908
211456 103.25 0.131377043047151
211968 103.5 0.131331355136198
212480 103.75 0.131285707979663
212992 104 0.131240093192576
213504 104.25 0.131194496930573
214016 104.5 0.131148896715753
214528 104.75 0.131103277224853
215040 105 0.131057639850577
215552 105.25 0.131011992518539
216064 105.5 0.130966341161318
216576 105.75 0.130920703638249
217088 106 0.130875127416612
217600 106.25 0.130829676845789
218112 106.5 0.130784395533041
218624 106.75 0.130739289667509
219136 107 0.130694357153455
219648 107.25 0.130649629520249
220160 107.5 0.130605177083905
220672 107.75 0.130561074177699
221184 108 0.130517367420393
221696 108.25 0.130474078501186
222208 108.5 0.130431226665805
222720 108.75 0.130388838092248
223232 109 0.130346935803067
223744 109.25 0.130305531260345
224256 109.5 0.130264631134581
224768 109.75 0.130224246800247
225280 110 0.130184388823437
225792 110.25 0.130145050303726
226304 110.5 0.130106200351473
226816 110.75 0.130067797915232
227328 111 0.130029810732222
227840 111.25 0.129992217839856
228352 111.5 0.129954995676735
228864 111.75 0.129918108524831
229376 112 0.129881515240487
229888 112.25 0.129845178686032
230400 112.5 0.129809060791484
230912 112.75 0.1297731119192
231424 113 0.129737278241627
231936 113.25 0.129701526814615
232448 113.5 0.129665856838122
232960 113.75 0.129630276702985
233472 114 0.129594770190478
233984 114.25 0.129559291613926
234496 114.5 0.129523795051606
235008 114.75 0.12948826396212
235520 115 0.129452712932257
236032 115.25 0.129417167946221
236544 115.5 0.129381648035218
237056 115.75 0.129346158784256
237568 116 0.129310694914089
238080 116.25 0.129275249816504
238592 116.5 0.12923983005366
239104 116.75 0.129204464041834
239616 117 0.129169192409079
240128 117.25 0.129134044540909
240640 117.5 0.129099024076274
241152 117.75 0.129064119915578
241664 118 0.129029331730227
242176 118.25 0.128994681753129
242688 118.5 0.12896019977175
243200 118.75 0.128925899288552
243712 119 0.128891772481739
244224 119.25 0.128857807418979
244736 119.5 0.128824003351738
245248 119.75 0.128790364962717
245760 120 0.128756887107587
246272 120.25 0.12872355488129
246784 120.5 0.128690360363704
247296 120.75 0.128657310852326
247808 121 0.128624413354214
248320 121.25 0.128591653824798
248832 121.5 0.128558999329461
249344 121.75 0.128526422871577
249856 122 0.128493922703143
250368 122.25 0.128461516010199
250880 122.5 0.128429217094542
251392 122.75 0.128397024395792
251904 123 0.128364926911209
252416 123.25 0.12833291939606
252928 123.5 0.12830100917321
253440 123.75 0.128269208545357
253952 124 0.128237524214206
254464 124.25 0.12820596071332
254976 124.5 0.128174531898572
255488 124.75 0.128143264018047
256000 125 0.128112185765321
256512 125.25 0.128081312567051
257024 125.5 0.128050644826826
257536 125.75 0.128020184034827
258048 126 0.127989945357095
258560 126.25 0.127959950373204
259072 126.5 0.127930211139902
259584 126.75 0.127900727382194
260096 127 0.127871499510944
260608 127.25 0.127842540302778
261120 127.5 0.127813871890842
