# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
182784 89.25 0.000110526607910596 0.000110511654810944 0.000110538768222565
183296 89.5 0.000108629742526177 0.00010861469771983 0.000108644218481369
183808 89.75 0.000106893089021154 0.000106877619119648 0.000106908382683748
184320 90 0.000105167911922768 0.000105152437300363 0.000105182695171863
184832 90.25 0.000103258204391605 0.000103243087275557 0.000103272843420525
185344 90.5 0.000101196338584106 0.000101181049729346 0.000101211461995009
185856 90.75 9.92505457449687e-05 9.92347318284086e-05 9.92666483654334e-05
186368 91 9.78504824537556e-05 9.78387116952114e-05 9.78628871828337e-05
186880 91.25 9.65409307932277e-05 9.65290181634542e-05 9.65544977736309e-05
187392 91.5 9.51552989159697e-05 9.51429515537502e-05 9.51701890065898e-05
187904 91.75 9.35632665562954e-05 9.35501045678549e-05 9.35783965453483e-05
188416 92 9.17759930146056e-05 9.17621096073957e-05 9.17907054698409e-05
188928 92.25 8.99708726450428e-05 8.99563694014983e-05 8.99853455130943e-05
189440 92.5 8.83226983512263e-05 8.83078479240201e-05 8.83370468264675e-05
189952 92.75 8.68533252819079e-05 8.68425172072552e-05 8.68648755138171e-05
190464 93 8.56284920142448e-05 8.5617547376316e-05 8.56407460522347e-05
190976 93.25 8.43816478681644e-05 8.43703784201672e-05 8.43936691561788e-05
