# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 15:34:25+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-13.34.19-5736
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
278016 135.75 0.188269420173169
278528 136 0.188269422447356
279040 136.25 0.188269424707065
279552 136.5 0.188269426975433
280064 136.75 0.188269429241776
280576 137 0.188269431515884
281088 137.25 0.188269433795859
281600 137.5 0.18826943606146
282112 137.75 0.188269438325442
282624 138 0.188269440579371
283136 138.25 0.188269442832793
283648 138.5 0.18826944508976
284160 138.75 0.188269447325826
284672 139 0.188269449548587
285184 139.25 0.188269451782498
285696 139.5 0.188269454017171
286208 139.75 0.18826945624893
286720 140 0.188269458483229
287232 140.25 0.188269460737675
287744 140.5 0.188269462994405
288256 140.75 0.188269465253315
288768 141 0.188269467517464
289280 141.25 0.188269469766336
289792 141.5 0.188269472022682
290304 141.75 0.188269474284261
290816 142 0.188269476545322
291328 142.25 0.188269478811887
291840 142.5 0.188269481086235
292352 142.75 0.188269483379794
292864 143 0.188269485676022
293376 143.25 0.188269487989871
293888 143.5 0.188269490289176
294400 143.75 0.188269492578425
294912 144 0.188269494841984
295424 144.25 0.188269497104416
295936 144.5 0.188269499358274
296448 144.75 0.18826950160186
296960 145 0.188269503837944
297472 145.25 0.188269506058422
297984 145.5 0.188269508280365
298496 145.75 0.188269510498297
299008 146 0.188269512714718
299520 146.25 0.188269514941424
300032 146.5 0.18826951718714
300544 146.75 0.188269519443462
301056 147 0.1882695217121
301568 147.25 0.1882695239847
302080 147.5 0.188269526256836
302592 147.75 0.188269528516284
303104 148 0.188269530769105
303616 148.25 0.188269533036072
304128 148.5 0.188269535303796
304640 148.75 0.18826953756869
305152 149 0.188269539829899
305664 149.25 0.188269542099388
306176 149.5 0.188269544372114
306688 149.75 0.188269546642336
307200 150 0.188269548923448
307712 150.25 0.188269551193538
308224 150.5 0.188269553487438
308736 150.75 0.188269555776178
309248 151 0.188269558067435
309760 151.25 0.188269560363327
310272 151.5 0.188269562654386
310784 151.75 0.188269564954599
311296 152 0.18826956724214
311808 152.25 0.188269569524569
312320 152.5 0.188269571799661
312832 152.75 0.188269574077746
313344 153 0.188269576368586
313856 153.25 0.188269578669691
314368 153.5 0.188269580967328
314880 153.75 0.188269583269462
315392 154 0.18826958558266
315904 154.25 0.188269587907641
316416 154.5 0.188269590236052
316928 154.75 0.188269592569473
317440 155 0.18826959490727
317952 155.25 0.188269597240124
318464 155.5 0.188269599594891
318976 155.75 0.188269601965771
319488 156 0.188269604334061
320000 156.25 0.188269606688699
320512 156.5 0.188269609059249
321024 156.75 0.188269611423827
321536 157 0.18826961377497
322048 157.25 0.188269616119591
322560 157.5 0.188269618478793
323072 157.75 0.188269620829437
323584 158 0.18826962317305
324096 158.25 0.18826962553117
324608 158.5 0.188269627901089
325120 158.75 0.188269630274416
325632 159 0.188269632654389
326144 159.25 0.188269635024392
326656 159.5 0.188269637414949
327168 159.75 0.188269639808289
327680 160 0.188269642206218
328192 160.25 0.188269644609189
328704 160.5 0.18826964700751
329216 160.75 0.188269649405571
329728 161 0.188269651797589
330240 161.25 0.188269654178341
330752 161.5 0.188269656544174
331264 161.75 0.188269658890647
331776 162 0.188269661228067
332288 162.25 0.188269663568391
332800 162.5 0.188269665901309
333312 162.75 0.188269668237287
333824 163 0.188269670574545
334336 163.25 0.188269672920368
334848 163.5 0.188269675276144
335360 163.75 0.188269677627255
335872 164 0.188269679972608
336384 164.25 0.188269682325016
336896 164.5 0.188269684683691
337408 164.75 0.188269687041924
337920 165 0.188269689418796
338432 165.25 0.188269691802681
338944 165.5 0.188269694199981
339456 165.75 0.188269696604744
339968 166 0.188269699017708
340480 166.25 0.18826970140729
340992 166.5 0.188269703805572
341504 166.75 0.188269706207409
342016 167 0.188269708598934
342528 167.25 0.188269710979269
343040 167.5 0.188269713371968
343552 167.75 0.188269715765574
344064 168 0.188269718162937
344576 168.25 0.188269720560971
