# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
288768 282 0.000142118045692977
289280 282.5 0.000142301743540281
289792 283 0.000142484702746556
290304 283.5 0.000142668157345479
290816 284 0.000142853835913146
291328 284.5 0.000143039036312094
291840 285 0.000143222712027881
292352 285.5 0.000143406272935673
292864 286 0.000143591229721092
293376 286.5 0.000143776664701717
293888 287 0.000143960459217002
294400 287.5 0.000144144080862214
294912 288 0.000144328513710361
295424 288.5 0.000144514598655815
295936 289 0.000144699552274949
296448 289.5 0.000144883900222543
296960 290 0.000145068413146109
297472 290.5 0.000145254525697349
297984 291 0.000145440076337277
298496 291.5 0.000145624265441268
299008 292 0.000145808372271972
299520 292.5 0.000145993555064052
300032 293 0.000146179319584121
300544 293.5 0.000146363715531947
301056 294 0.00014654817791219
301568 294.5 0.000146733139068804
302080 295 0.000146918876362423
302592 295.5 0.000147102875462081
303104 296 0.000147286008544241
303616 296.5 0.000147469313262602
304128 297 0.000147653398090088
304640 297.5 0.000147836810777322
305152 298 0.000148019069564829
305664 298.5 0.000148202099700525
306176 299 0.000148385671504331
306688 299.5 0.000148569266575654
307200 300 0.000148751364310073
307712 300.5 0.000148933851635779
308224 301 0.000149116621441936
308736 301.5 0.000149299781819763
309248 302 0.00014948158378276
309760 302.5 0.000149662988315847
310272 303 0.000149845116745817
310784 303.5 0.000150027669190693
311296 304 0.000150209329369686
311808 304.5 0.000150389654628518
312320 305 0.000150570700406576
312832 305.5 0.00015075219224482
313344 306 0.000150933230567297
313856 306.5 0.000151112800292255
314368 307 0.000151292733872025
314880 307.5 0.000151473223157908
315392 308 0.000151653585968553
315904 308.5 0.000151832597212835
316416 309 0.000152011347052917
316928 309.5 0.000152191002183924
317440 310 0.000152371295063546
317952 310.5 0.000152550791222504
318464 311 0.000152729378928959
318976 311.5 0.000152908984785504
319488 312 0.000153089745891067
320000 312.5 0.000153270137290167
320512 313 0.000153448929563663
321024 313.5 0.000153628391399337
321536 314 0.000153809171538064
322048 314.5 0.000153990365071229
322560 315 0.000154170467561786
323072 315.5 0.000154350605490358
323584 316 0.000154531940271717
324096 316.5 0.000154713923732912
324608 317 0.000154895036285653
325120 317.5 0.000155075317203036
325632 318 0.000155256256439533
326144 318.5 0.000155438120491782
326656 319 0.000155619731997309
327168 319.5 0.00015580028663669
327680 320 0.000155981416634037
328192 320.5 0.000156163284952019
328704 321 0.000156345006130886
329216 321.5 0.00015652557094512
329728 322 0.000156706031596077
330240 322.5 0.000156886695974375
330752 323 0.000157067588194564
331264 323.5 0.000157247779871942
331776 324 0.000157427551626745
332288 324.5 0.000157607593022827
332800 325 0.00015778858744013
333312 325.5 0.000157969323170947
333824 326 0.000158149407772011
334336 326.5 0.000158329221216974
334848 327 0.000158509030513245
335360 327.5 0.000158688705791606
335872 328 0.000158867670555435
336384 328.5 0.000159046305053593
336896 329 0.000159225131212448
337408 329.5 0.000159404252755904
337920 330 0.000159582817040073
338432 330.5 0.000159761032141022
338944 331 0.000159939223710691
339456 331.5 0.000160117633403281
339968 332 0.000160295625285563
340480 332.5 0.00016047339649666
340992 333 0.00016065083841265
341504 333.5 0.000160828183284793
342016 334 0.000161005118967986
342528 334.5 0.000161181924088427
343040 335 0.000161358641105102
343552 335.5 0.000161535096287777
344064 336 0.000161710961378836
344576 336.5 0.000161886367848506
345088 337 0.000162061654087786
345600 337.5 0.000162236926157515
346112 338 0.000162412080777776
346624 338.5 0.000162586932742059
347136 339 0.000162761560391638
347648 339.5 0.000162935822290388
348160 340 0.000163109990248911
348672 340.5 0.000163283869649701
349184 341 0.000163457558657554
349696 341.5 0.000163631508399652
350208 342 0.000163805720709892
350720 342.5 0.000163979878666207
351232 343 0.000164153978780988
351744 343.5 0.000164328366722423
352256 344 0.000164502832134912
352768 344.5 0.000164677227680248
353280 345 0.000164851567600532
353792 345.5 0.000165025735266765
354304 346 0.000165199722969862
354816 346.5 0.00016537380370302
355328 347 0.000165547821404877
355840 347.5 0.000165721693539829
356352 348 0.000165895862513818
356864 348.5 0.000166069885088701
357376 349 0.000166243176770894
357888 349.5 0.000166415810669896
358400 350 0.000166588471837906
358912 350.5 0.000166761149200181
359424 351 0.000166933442907955
359936 351.5 0.000167105096100629
360448 352 0.000167276548686662
360960 352.5 0.000167448265841158
361472 353 0.000167619870701762
361984 353.5 0.000167790637363103
362496 354 0.000167960954703597
363008 354.5 0.000168131497799561
363520 355 0.000168301947838948
364032 355.5 0.000168471681563603
364544 356 0.000168641002851616
365056 356.5 0.000168810571999926
365568 357 0.000168980494980489
366080 357.5 0.000169150290765627
366592 358 0.000169319722367897
367104 358.5 0.000169489322339124
367616 359 0.000169659540205902
368128 359.5 0.000169829907505801
368640 360 0.000169999933784017
369152 360.5 0.000170169924533554
369664 361 0.000170340379039903
