# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p018.laboratori.local by n.grillo6 on Aug 29 2023 at 11:58:12+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
# Run ID: run-TOV_example-libaas504-p018.laboratori.local-n.grillo6-2023.08.29-09.58.04-5567
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
84992 83 -6.4122271100448e-07 -6.41222710939986e-07 -6.41222710989152e-07
85504 83.5 -6.40401390848241e-07 -6.4040139073116e-07 -6.40401390885542e-07
86016 84 -6.25961748196838e-07 -6.25961748164785e-07 -6.25961748259399e-07
86528 84.5 -6.21825869755205e-07 -6.21825869755404e-07 -6.21825869936223e-07
87040 85 -5.97936652011384e-07 -5.97936652004022e-07 -5.97936652102497e-07
87552 85.5 -5.81256353811318e-07 -5.81256353808158e-07 -5.81256353878567e-07
88064 86 -5.70098187259053e-07 -5.70098187270474e-07 -5.70098187309273e-07
88576 86.5 -5.50863347680465e-07 -5.5086334769342e-07 -5.50863347751857e-07
89088 87 -5.68294285611384e-07 -5.68294285727813e-07 -5.68294285794449e-07
89600 87.5 -5.79894026874393e-07 -5.7989402699861e-07 -5.79894026847682e-07
90112 88 -5.63469263722146e-07 -5.63469263798169e-07 -5.63469263629539e-07
90624 88.5 -5.65275725452685e-07 -5.65275725457246e-07 -5.65275725386702e-07
91136 89 -5.46795265807331e-07 -5.46795265856815e-07 -5.46795265773409e-07
91648 89.5 -5.41789280085561e-07 -5.41789280054709e-07 -5.41789280132942e-07
92160 90 -5.19691546591967e-07 -5.19691546574153e-07 -5.19691546568021e-07
92672 90.5 -5.05756015562549e-07 -5.05756015525786e-07 -5.05756015520082e-07
93184 91 -4.96409543541994e-07 -4.96409543494579e-07 -4.96409543478092e-07
